acronym	Partnership	action
iSPINE	Eurostars 2	Article 185
SensAssist	MANUNET III	ERA-NET Cofund
IBSCREEN	Eurostars 2	Article 185
INTENSE-TBM	EDCTP2	Article 185
INTENSE	FACCE SURPLUS	ERA-NET Cofund
IVAN	CHIST-ERA III	ERA-NET Cofund
InterRest	BiodivRestore	ERA-NET Cofund
i-RECORDS	ERA PerMed	ERA-NET Cofund
ICON-TBI	NEURON Cofund	ERA-NET Cofund
INFORM-AFR	JPIAMR-ACTION	ERA-NET Cofund
INPI	NEURON Cofund	ERA-NET Cofund
FRAIL	Eurostars 2	Article 185
ENVIRE	JPIAMR-ACTION	ERA-NET Cofund
I-CRECT	JPIAMR-ACTION	ERA-NET Cofund
PROGNOSIS	SOLAR-ERA.NET Cofund	ERA-NET Cofund
IMPERA	Eurostars 2	Article 185
TransPathND	JPco-fuND	ERA-NET Cofund
PERIMMUNE	TRANSCAN-3	ERA-NET Cofund
HetMet	TRANSCAN-2	ERA-NET Cofund
MS-CONNECT	Eurostars 2	Article 185
OPEX-IT	Eurostars 2	Article 185
DETECT ARRHYTHMIAS	ERA-CVD	ERA-NET Cofund
ScaleApp	ERA CoBioTech	ERA-NET Cofund
INNOVATION	ERA-CVD	ERA-NET Cofund
MIWACUT	ERA-MIN 2	ERA-NET Cofund
C-ICE-BIOHYDRO	Eurostars 2	Article 185
PIECRISCI	M-ERA.NET 3	ERA-NET Cofund
Latent HIV-1, Viral Suppress and Hope for HIV Cure	EDCTP2	Article 185
ImmuMet	TRANSCAN-3	ERA-NET Cofund
CANSHANK	NEURON Cofund2	ERA-NET Cofund
I4BAGS	M-ERA.NET 3	ERA-NET Cofund
ICMI	NEURON Cofund	ERA-NET Cofund
nAngioDerm	EuroNanoMed III	ERA-NET Cofund
ICONIC	JPIAMR-ACTION	ERA-NET Cofund
IDEWA	PRIMA	Article 185
IsoFLUX	Eurostars 2	Article 185
JANUS	Eurostars 2	Article 185
JAQ – FCPBC	Eurostars 2	Article 185
MINERVA_TECB	BlueBio	ERA-NET Cofund
JUSTICE	EN-UAC	ERA-NET Cofund
17FUN10 ParaWave	EMPIR	Article 185
JoMass	Eurostars 2	Article 185
KINOPERSONAL	Eurostars 2	Article 185
SMART-KAPTON-HEATING	Eurostars 2	Article 185
KARMA	PRIMA	Article 185
TriQ4Durum	Eurostars 2	Article 185
KESPER	M-ERA.NET 3	ERA-NET Cofund
KetoResi	NEURON Cofund2	ERA-NET Cofund
interBATT	M-ERA.NET 2	ERA-NET Cofund
KnK	AAL 2	Article 185
WheatSustain	SusCrop	ERA-NET Cofund
KTOC	EMPIR	Article 185
19SIP02 PlanarMeT	EMPIR	Article 185
AquaticPollutantsTransNet	AquaticPollutants	ERA-NET Cofund
KBS-Weld	MANUNET III	ERA-NET Cofund
KE:TTLE	EN SGplusRegSys	ERA-NET Cofund
KollaGuard	Eurostars 2	Article 185
LAUNCH	ACT	ERA-NET Cofund
LAMACLIMA	AXIS	ERA-NET Cofund
T2DiaCURE	Eurostars 2	Article 185
ECM-CART	EuroNanoMed III	ERA-NET Cofund
LEMAQUME	QuantERA II	ERA-NET Cofund
LEAP	Eurostars 2	Article 185
LIFOMUL 3D	M-ERA.NET 3	ERA-NET Cofund
LICOBAT	ERA-MIN 2	ERA-NET Cofund
LODE	JPco-fuND	ERA-NET Cofund
LTE TC 100	Eurostars 2	Article 185
PoC-BoSens	PhotonicSensing	ERA-NET Cofund
LUCIA	Eurostars 2	Article 185
AVVALACT	Eurostars 2	Article 185
Land2Sea	BiodivScen	ERA-NET Cofund
ARISER	M-ERA.NET 3	ERA-NET Cofund
17IND03 LaVA	EMPIR	Article 185
SCALEUP	Solar Cofund 2	ERA-NET Cofund
LarGo!	ERANet SmartGridPlus	ERA-NET Cofund
ClusStaR	QuantERA II	ERA-NET Cofund
GeoMetre	EMPIR	Article 185
LDI MAGIC	M-ERA.NET 3	ERA-NET Cofund
cladHEA+	M-ERA.NET 2	ERA-NET Cofund
HYBRID	Eurostars 2	Article 185
LaReBo	Eurostars 2	Article 185
LASIBAT	M-ERA.NET 3	ERA-NET Cofund
AQUASHIELD	Eurostars 2	Article 185
PrimCorNet	FLAG-ERA III	ERA-NET Cofund
LaMeS	FLAG-ERA II	ERA-NET Cofund
3D-PIEZO	MANUNET III	ERA-NET Cofund
LOOPER	ENSUF	ERA-NET Cofund
LENSES	PRIMA	Article 185
LIHLITH	CHIST-ERA III	ERA-NET Cofund
LEARNFORCLIMATE	ForestValue	ERA-NET Cofund
LuxSonic	Eurostars 2	Article 185
LEAP	WaterWorks2015	ERA-NET Cofund
LEGU-MED	PRIMA	Article 185
DBAGenCure	EJP RD	EJP Cofund
FOODLEVERS	CORE Organic Cofund	ERA-NET Cofund
CAPA-CT II	EDCTP2	Article 185
LiBASED	M-ERA.NET 2	ERA-NET Cofund
LiceSonic	Eurostars 2	Article 185
PremLife	DIAL	ERA-NET Cofund
HealthProp	MarTERA	ERA-NET Cofund
OA_BIO	Eurostars 2	Article 185
LIFETRACK	DIAL	ERA-NET Cofund
LIFANA	AAL 2	Article 185
LightCell	Eurostars 2	Article 185
HESSENSE	M-ERA.NET 3	ERA-NET Cofund
17FUN01 BeCOMe	EMPIR	Article 185
LITAPROP	M-ERA.NET 2	ERA-NET Cofund
LIGHT BRIDGE	Eurostars 2	Article 185
LIGHTS	ERA-MIN 2	ERA-NET Cofund
FLOW	ERA-MIN 2	ERA-NET Cofund
3DBiofibreGoesAuto	M-ERA.NET 3	ERA-NET Cofund
InflatableCAR	Eurostars 2	Article 185
LINKCUBE	Eurostars 2	Article 185
EnergyLink	EJP SOIL	EJP Cofund
SYNSCHIZ	NEURON Cofund	ERA-NET Cofund
LiMeCore	M-ERA.NET 3	ERA-NET Cofund
LiMeCut	Eurostars 2	Article 185
SOUL	Eurostars 2	Article 185
VIBBRE	Eurostars 2	Article 185
Living well	AAL 2	Article 185
LOCWEC	Eurostars 2	Article 185
AtheroInside	ERA-CVD	ERA-NET Cofund
MagicCELLGene	M-ERA.NET 2	ERA-NET Cofund
LBSaaS	Eurostars 2	Article 185
LogNetTech	Eurostars 2	Article 185
ECOLISENS	MANUNET III	ERA-NET Cofund
LUXOR	Eurostars 2	Article 185
SEVISI	Eurostars 2	Article 185
Si QuBus	QuantERA	ERA-NET Cofund
DELTA	CHIST-ERA III	ERA-NET Cofund
IMAGINe	Eurostars 2	Article 185
earlyFOOD	HDHL-INTIMIC	ERA-NET Cofund
pURIcat	Eurostars 2	Article 185
JUSTHEAT	CHANSE	ERA-NET Cofund
17NRM01 TrafoLoss	EMPIR	Article 185
CHEER-UP	Solar Cofund 2	ERA-NET Cofund
CloudClass2	Eurostars 2	Article 185
Low Head Hydropower Plant	Eurostars 2	Article 185
CONVECTOR	Eurostars 2	Article 185
TLPON	Eurostars 2	Article 185
LCESforPV	Eurostars 2	Article 185
NANOPOL	M-ERA.NET 2	ERA-NET Cofund
HIVDR	EDCTP2	Article 185
OLYMPICS	Eurostars 2	Article 185
LOUISE	ACT	ERA-NET Cofund
INTEL-IRRIS	PRIMA	Article 185
WIDE5GNET	Eurostars 2	Article 185
allergy-FREE	Eurostars 2	Article 185
Nano-Ex	Eurostars 2	Article 185
DESERT	WaterWorks2014	ERA-NET Cofund
Low-MACER	M-ERA.NET 3	ERA-NET Cofund
LumAI	M-ERA.NET 3	ERA-NET Cofund
DONATE	JPIAMR-ACTION	ERA-NET Cofund
MACADAMS	Eurostars 2	Article 185
NITRISENS	MANUNET III	ERA-NET Cofund
MARIKAT	BlueBio	ERA-NET Cofund
MARIKAT-BCOM	BlueBio	ERA-NET Cofund
MAESTRO	QuantERA II	ERA-NET Cofund
MAGNOLIA	TRANSCAN-3	ERA-NET Cofund
MATE	MarTERA	ERA-NET Cofund
MARWEL	M-ERA.NET 2	ERA-NET Cofund
MDWIND	DemoWind	ERA-NET Cofund
BIPCOM	ERA PerMed	ERA-NET Cofund
MEDICYNE	Eurostars 2	Article 185
MEDSCOPE	ERA4CS	ERA-NET Cofund
MEscal	Eurostars 2	Article 185
MeMBrane	ERA CoBioTech	ERA-NET Cofund
MEGAISurv	JPIAMR-ACTION	ERA-NET Cofund
MI-Tale	AAL 2	Article 185
MINALEM	Eurostars 2	Article 185
MICROBLEEDs	NEURON Cofund2	ERA-NET Cofund
MI-WINE	CORE Organic Cofund	ERA-NET Cofund
MISSION	Eurostars 2	Article 185
MI BICYCLE	SusAn	ERA-NET Cofund
NPP-SOL	PRIMA	Article 185
MODSCAPES	HERA JRP UP	ERA-NET Cofund
MOGLiS	M-ERA.NET 2	ERA-NET Cofund
MOSAICo	Eurostars 2	Article 185
DigiPatch	CHANSE	ERA-NET Cofund
MoVieStA	Eurostars 2	Article 185
MOVE	Eurostars 2	Article 185
MoDiaNo	EuroNanoMed III	ERA-NET Cofund
MOLAR	QuantERA II	ERA-NET Cofund
MEGAPIPELINE	Eurostars 2	Article 185
MTBVAC-Newborns	EDCTP2	Article 185
SPAREKID	ERA PerMed	ERA-NET Cofund
CEDAR	Eurostars 2	Article 185
MULTIFOREVER	ForestValue	ERA-NET Cofund
PVCOM	Eurostars 2	Article 185
MULTILOOP	Eurostars 2	Article 185
MX-OSMOPED	FLAG-ERA II	ERA-NET Cofund
MACH LUCID	Eurostars 2	Article 185
HYPHAD	M-ERA.NET 3	ERA-NET Cofund
BrushtoCut	Eurostars 2	Article 185
MachFlexComp	M-ERA.NET 3	ERA-NET Cofund
AtheroMacHete	ERA-CVD	ERA-NET Cofund
MagicTABLE	AAL 2	Article 185
MITOS	PhotonicSensing	ERA-NET Cofund
MAGneTISe	EuroNanoMed III	ERA-NET Cofund
MAGMA	QuantERA II	ERA-NET Cofund
MAQS	QuantERA	ERA-NET Cofund
MORE-Mxenes	FLAG-ERA II	ERA-NET Cofund
MINERVA	FLAG-ERA III	ERA-NET Cofund
CordonGris	AAL 2	Article 185
MaReCa	EDCTP2	Article 185
MARadentro	WaterWorks2017	ERA-NET Cofund
MACEVIN-2	Eurostars 2	Article 185
SUREPASTOR	PRIMA	Article 185
LoRTISA	EDCTP2	Article 185
TRUST	PRIMA	Article 185
ADAPT-HERD	PRIMA	Article 185
SCALE	EJP SOIL	EJP Cofund
MUSE	GeoERA	ERA-NET Cofund
GHG-Manage	ERA-GAS	ERA-NET Cofund
BioRodDis	BiodivERsA3	ERA-NET Cofund
engAGE	AAL 2	Article 185
SOILCLIM	BiodivERsA3	ERA-NET Cofund
MOSAICS	Eurostars 2	Article 185
AromaTex	MANUNET III	ERA-NET Cofund
HEMP4NZEB	M-ERA.NET 2	ERA-NET Cofund
AniConFilm	MANUNET III	ERA-NET Cofund
TexEMFiRe	MANUNET III	ERA-NET Cofund
M4Models	ERA-GAS	ERA-NET Cofund
MAGIC	Eurostars 2	Article 185
Hotlime	GeoERA	ERA-NET Cofund
SoilCompaC	EJP SOIL	EJP Cofund
topdownPTSD	NEURON Cofund	ERA-NET Cofund
MarcoWatt	Eurostars 2	Article 185
RESTORESEAS	BiodivRestore	ERA-NET Cofund
MINERVA	BlueBio	ERA-NET Cofund
MAPMAR	AquaticPollutants	ERA-NET Cofund
MASUM	Eurostars 2	Article 185
MATCH 2	ERANet SmartGridPlus	ERA-NET Cofund
PositivMas	GENDER NET Plus	ERA-NET Cofund
MASTER	M-ERA.NET 3	ERA-NET Cofund
MaSNEC	M-ERA.NET 2	ERA-NET Cofund
MATPAX	Eurostars 2	Article 185
SEAM-PP	M-ERA.NET 2	ERA-NET Cofund
GEOSUMAT	M-ERA.NET 3	ERA-NET Cofund
MUST	M-ERA.NET 3	ERA-NET Cofund
HyperDiP	ERA-CVD	ERA-NET Cofund
GUTMOM	HDHL-INTIMIC	ERA-NET Cofund
prediCt	ERACoSysMed	ERA-NET Cofund
MERF	M-ERA.NET 2	ERA-NET Cofund
14RPT03 ENVCRM	EMPIR	Article 185
MARGO	FLAG-ERA III	ERA-NET Cofund
PureCircles	PRIMA	Article 185
IMPP-ACT	EDCTP2	Article 185
3D PRINTING	ACT	ERA-NET Cofund
MarathonR	Eurostars 2	Article 185
MInD-Map	Eurostars 2	Article 185
19NRM05 IT4PQ	EMPIR	Article 185
17FUN02 MetroMMC	EMPIR	Article 185
NanoXSpot	EMPIR	Article 185
AeroTox	EMPIR	Article 185
AspecT-NMO	EJP RD	EJP Cofund
SmartMask	Eurostars 2	Article 185
SNAREopathy	NEURON Cofund	ERA-NET Cofund
CARDIO-PRO	ERA-CVD	ERA-NET Cofund
TRACE-Soils	EJP SOIL	EJP Cofund
RangeX	BiodivClim	ERA-NET Cofund
MechanoCHIP	Eurostars 2	Article 185
MEDEP	CHANSE	ERA-NET Cofund
MODiL	Eurostars 2	Article 185
MDFD	Eurostars 2	Article 185
MAGO	PRIMA	Article 185
MA4SURE	PRIMA	Article 185
MEDISMART	PRIMA	Article 185
MED4YOUTH	PRIMA	Article 185
Li+WATER	ERA-MIN 2	ERA-NET Cofund
MeDORA	ACT	ERA-NET Cofund
MELA	HERA JRP UP	ERA-NET Cofund
MEEDGARD	QuantERA II	ERA-NET Cofund
MEMQuD	EMPIR	Article 185
PRIVETDIS	NEURON Cofund2	ERA-NET Cofund
HEALTHMARK	ERA-HDHL	ERA-NET Cofund
MINOTAUR	ERA-CVD	ERA-NET Cofund
MUSE ACE	NEURON Cofund2	ERA-NET Cofund
MEPIcephaly	NEURON Cofund2	ERA-NET Cofund
GUT2BEHAVE	NEURON Cofund	ERA-NET Cofund
MEET-AML	ERA PerMed	ERA-NET Cofund
NK-4-GBM	TRANSCAN-3	ERA-NET Cofund
GALENE	Eurostars 2	Article 185
BioDiMet	ERA CoBioTech	ERA-NET Cofund
16ENG09 LNG III	EMPIR	Article 185
NeuroMET2	EMPIR	Article 185
14IND10 MET5G	EMPIR	Article 185
19ENG03 MefHySto	EMPIR	Article 185
17IND09 MetAMCII	EMPIR	Article 185
15HLT08 MRgRT	EMPIR	Article 185
5GRFEX	EMPIR	Article 185
15HLT09 MetAMMI	EMPIR	Article 185
16ENG06 ADVENT	EMPIR	Article 185
UHDpulse	EMPIR	Article 185
19ENV04 MAPP	EMPIR	Article 185
16ENV08 IMPRESS 2	EMPIR	Article 185
16ENG05 Biomethane	EMPIR	Article 185
19ENV06 MetClimVOC	EMPIR	Article 185
15HLT06 MRTDosimetry	EMPIR	Article 185
Decarb	EMPIR	Article 185
MeDDII	EMPIR	Article 185
19ENG01 Metro-PV	EMPIR	Article 185
19ENG07 Met4Wind	EMPIR	Article 185
19ENG02 FutureEnergy	EMPIR	Article 185
14IND09 MetHPM	EMPIR	Article 185
14IND11 HIT	EMPIR	Article 185
16ENG01 MetroHyVe	EMPIR	Article 185
19ENG04 MetroHyVe 2	EMPIR	Article 185
16ENG08 MICEV	EMPIR	Article 185
14IND12 Innanopart	EMPIR	Article 185
14IND03 Strength-ABLE	EMPIR	Article 185
16ENV02 Black Carbon	EMPIR	Article 185
19ENV03 Infra-AUV	EMPIR	Article 185
14IND07 3D Stack	EMPIR	Article 185
16ENV04 Preparedness	EMPIR	Article 185
15HLT03 Ears II	EMPIR	Article 185
EDC-WFD	EMPIR	Article 185
15HLT05 PerfusImaging	EMPIR	Article 185
16ENV05 MetNO2	EMPIR	Article 185
16ENV01 MercOx	EMPIR	Article 185
16ENV10 MetroRADON	EMPIR	Article 185
17IND13 Metrowamet	EMPIR	Article 185
15NRM01 Sulf-Norm	EMPIR	Article 185
16ENG04 MyRailS	EMPIR	Article 185
16ENV06 SIRS	EMPIR	Article 185
SApHTIES	EMPIR	Article 185
15NRM03 Hydrogen	EMPIR	Article 185
MetTLM	EMPIR	Article 185
19NRM06 MeTISQ	EMPIR	Article 185
17IND12 Met4FoF	EMPIR	Article 185
MetrIAQ	EMPIR	Article 185
14IND08 ElPow	EMPIR	Article 185
17IND06 FutureGrid II	EMPIR	Article 185
14IND13 PhotInd	EMPIR	Article 185
MetroCycleEU	EMPIR	Article 185
17FUN08 TOPS	EMPIR	Article 185
PROMETH2O	EMPIR	Article 185
19NRM03 SI-Hg	EMPIR	Article 185
PowerElec	EMPIR	Article 185
MetHyInfra	EMPIR	Article 185
MedalCare	EMPIR	Article 185
19ENG06 HEFMAG	EMPIR	Article 185
SEPTIMET	EMPIR	Article 185
19ENV07 MetEOC-4	EMPIR	Article 185
MOONSHINE	Eurostars 2	Article 185
MiFeM	Eurostars 2	Article 185
MEPV2	Eurostars 2	Article 185
MERIT	ERA CoBioTech	ERA-NET Cofund
AquaHealth	BlueBio	ERA-NET Cofund
Microalgae In IT	BlueBio	ERA-NET Cofund
MiCCuR	ERA-MIN 2	ERA-NET Cofund
MiDAS	Eurostars 2	Article 185
YogurtDesign	ERA CoBioTech	ERA-NET Cofund
C1Pro	ERA CoBioTech	ERA-NET Cofund
MILIMO	ERA CoBioTech	ERA-NET Cofund
MIPLACE	ERA CoBioTech	ERA-NET Cofund
RASbiome	BlueBio	ERA-NET Cofund
Oli4food	PRIMA	Article 185
MiGBAN	NEURON Cofund	ERA-NET Cofund
AppleBIOME	SusCrop	ERA-NET Cofund
MISTAR	JPIAMR-ACTION	ERA-NET Cofund
AMBROSIA	ERA-HDHL	ERA-NET Cofund
SCRAtCH	TRANSCAN-2	ERA-NET Cofund
PTubeChip	Eurostars 2	Article 185
Trilo-BWTS	Eurostars 2	Article 185
MIRACLE	Eurostars 2	Article 185
MTP in situ sequencer	Eurostars 2	Article 185
Mf-QDS	QuantERA II	ERA-NET Cofund
MINERVA	NEURON Cofund2	ERA-NET Cofund
microSCHIZ	NEURON Cofund	ERA-NET Cofund
MicroSynDep	NEURON Cofund	ERA-NET Cofund
uGRIP	ERANet SmartGridPlus	ERA-NET Cofund
MICROCHIP	Eurostars 2	Article 185
MicroPlankton	Eurostars 2	Article 185
MiDICoat	M-ERA.NET 2	ERA-NET Cofund
MW4REMAM	ERA-MIN3	ERA-NET Cofund
14IND02 PlanarCal	EMPIR	Article 185
SuperQuant	EMPIR	Article 185
MICROSENS	QuantERA	ERA-NET Cofund
MIRILUS	Eurostars 2	Article 185
MIR-LAB	Eurostars 2	Article 185
LEVES	Eurostars 2	Article 185
Misty	T2S	ERA-NET Cofund
IN-WOP	WaterWorks2017	ERA-NET Cofund
TailingR32Green	ERA-MIN3	ERA-NET Cofund
Mintell4EU	GeoERA	ERA-NET Cofund
MiniLib	Eurostars 2	Article 185
KIDmicroBLOODpump	M-ERA.NET 3	ERA-NET Cofund
MiniKid	Eurostars 2	Article 185
MINI-PASS	Eurostars 2	Article 185
MineLandDiv	SusCrop	ERA-NET Cofund
MISCOMAR	FACCE SURPLUS	ERA-NET Cofund
MISCOMAR+	FACCE SURPLUS	ERA-NET Cofund
MISC PTT	Eurostars 2	Article 185
DRONE-SAT	Eurostars 2	Article 185
MAGGE-pH	ERA-GAS	ERA-NET Cofund
MELS	ERA-GAS	ERA-NET Cofund
MAEWA	PRIMA	Article 185
GENOMIT	E-Rare-3	ERA-NET Cofund
MixForChange	BiodivClim	ERA-NET Cofund
MARA	Eurostars 2	Article 185
MIQE	Eurostars 2	Article 185
MOBISUB	EN SGplusRegSys	ERA-NET Cofund
ASYMALE	EDCTP2	Article 185
MobEBO-DRC	EDCTP2	Article 185
MOVIPP	Eurostars 2	Article 185
FORCLIMIT	ERA-GAS	ERA-NET Cofund
MECHANIC	FLAG-ERA II	ERA-NET Cofund
MOSC	Eurostars 2	Article 185
MORA	Eurostars 2	Article 185
CoolWine	ERA CoBioTech	ERA-NET Cofund
MINOTAUR	EJP SOIL	EJP Cofund
OLIVE-MIRACLE	FACCE SURPLUS	ERA-NET Cofund
ModEl-FuturE	M-ERA.NET 3	ERA-NET Cofund
Mi*EDGE	ERACoSysMed	ERA-NET Cofund
BIOMEnext	PRIMA	Article 185
GraSage	FLAG-ERA II	ERA-NET Cofund
SUNSETS	Solar Cofund 2	ERA-NET Cofund
MODTESTER	Eurostars 2	Article 185
SafeSpindle	Eurostars 2	Article 185
Huertik	Eurostars 2	Article 185
BrichosPharm	Eurostars 2	Article 185
CMT-NRG	E-Rare-3	ERA-NET Cofund
BiotaBB	NEURON Cofund2	ERA-NET Cofund
PhotoTBG	FLAG-ERA III	ERA-NET Cofund
Matisse	EuroNanoMed III	ERA-NET Cofund
MorphoMass	Eurostars 2	Article 185
MOSAIC	NEURON Cofund2	ERA-NET Cofund
MULTISPIN	FLAG-ERA III	ERA-NET Cofund
MINaFBioS	MANUNET III	ERA-NET Cofund
Mollii - PSTS	Eurostars 2	Article 185
MASCOTS	Eurostars 2	Article 185
ENVISAGE	Eurostars 2	Article 185
FRESHFRUITLAB	Eurostars 2	Article 185
ABISens	EuroNanoMed III	ERA-NET Cofund
PRIMAQUINE Roll out	EDCTP2	Article 185
IMPROVE	Eurostars 2	Article 185
MEDIBEES	PRIMA	Article 185
MISCA	Eurostars 2	Article 185
MoreMedDiet	PRIMA	Article 185
Into-DIALOGUE	EJP SOIL	EJP Cofund
CROWN Motion Reduction	Eurostars 2	Article 185
MMP	HERA-JRP-PS	ERA-NET Cofund
MoxiMultiDoseMod	EDCTP2	Article 185
MIDAS	EDCTP2	Article 185
MIST	M-ERA.NET 2	ERA-NET Cofund
MESH4U	EN SGplusRegSys	ERA-NET Cofund
MULTIFUSION	Eurostars 2	Article 185
Bio ClInc	Eurostars 2	Article 185
DOMINO-HD	JPCOFUND2	ERA-NET Cofund
MEIRS	Eurostars 2	Article 185
MuGasMeta	Eurostars 2	Article 185
MultiMat3	M-ERA.NET 2	ERA-NET Cofund
MBrace	M-ERA.NET 3	ERA-NET Cofund
M4	Eurostars 2	Article 185
HETER-OMICS	E-Rare-3	ERA-NET Cofund
TOP-RADAR	Eurostars 2	Article 185
MUFFIN	WaterWorks2014	ERA-NET Cofund
MuSe3D	Eurostars 2	Article 185
MMVC	EDCTP2	Article 185
Multi-Wave	Eurostars 2	Article 185
LAB4SUPPLY	PRIMA	Article 185
PrEmISES	Eurostars 2	Article 185
MULTI-FACT	NEURON Cofund2	ERA-NET Cofund
DairyMix	SusAn	ERA-NET Cofund
PD-Strat	ERACoSysMed	ERA-NET Cofund
ISOS	M-ERA.NET 2	ERA-NET Cofund
MIDAS	ERANet SmartGridPlus	ERA-NET Cofund
SMART-MLA	ERANet SmartGridPlus	ERA-NET Cofund
Muliobio	NEURON Cofund	ERA-NET Cofund
CHIRON	Eurostars 2	Article 185
MMAM-Flow	Eurostars 2	Article 185
MSA-omics	E-Rare-3	ERA-NET Cofund
MARS	Eurostars 2	Article 185
MUSECoV	ICRAD	ERA-NET Cofund
MISST	NEURON Cofund	ERA-NET Cofund
M-LUGE	M-ERA.NET 3	ERA-NET Cofund
LaserBATMAN	M-ERA.NET 3	ERA-NET Cofund
MultiModel	Eurostars 2	Article 185
MuWin	MarTERA	ERA-NET Cofund
MultiForest	ForestValue	ERA-NET Cofund
MultiLas	Eurostars 2	Article 185
ORGTHERAPY	JPCOFUND2	ERA-NET Cofund
MatriSVDs	NEURON Cofund2	ERA-NET Cofund
KIDNEY ATTACK	ERA PerMed	ERA-NET Cofund
3D-Photocat	M-ERA.NET 2	ERA-NET Cofund
CERANEA	FLAG-ERA II	ERA-NET Cofund
LEGOCHIP	FLAG-ERA III	ERA-NET Cofund
POLYWORK	MANUNET III	ERA-NET Cofund
17IND05 MicroProbes	EMPIR	Article 185
MuMiL-EU	HERA JRP UP	ERA-NET Cofund
MAISTER	Eurostars 2	Article 185
NIR2-3D	Eurostars 2	Article 185
MAQSIMAL	ERA-MIN3	ERA-NET Cofund
NeuroGuard XS	Eurostars 2	Article 185
MultiFib	ERA-CVD	ERA-NET Cofund
ANTONIO	ICT-AGRI-FOOD	ERA-NET Cofund
MATTO-GBM	TRANSCAN-3	ERA-NET Cofund
WilsonMed	EJP RD	EJP Cofund
GLIOMA-PRD	TRANSCAN-2	ERA-NET Cofund
16ENG07 MultiFlowMet II	EMPIR	Article 185
FLIM-VERTICO	Eurostars 2	Article 185
intraMMclo	TRANSCAN-2	ERA-NET Cofund
CoLi-SCo	M-ERA.NET 3	ERA-NET Cofund
MuMo4PEC	M-ERA.NET 2	ERA-NET Cofund
MILEDI	FLAG-ERA III	ERA-NET Cofund
MERIAVINO	ICT-AGRI-FOOD	ERA-NET Cofund
AutoScale	NEURON Cofund	ERA-NET Cofund
CatWatSplit	M-ERA.NET 2	ERA-NET Cofund
MAPPY	AXIS	ERA-NET Cofund
VAPOR360	Eurostars 2	Article 185
Municipalist Neighborhood Experiments / MUNEX	ENUTC	ERA-NET Cofund
MiDi	MANUNET III	ERA-NET Cofund
MAS	Eurostars 2	Article 185
MARS-SPORT	Eurostars 2	Article 185
MIDDEL	JPCOFUND2	ERA-NET Cofund
MuMiFaST	BlueBio	ERA-NET Cofund
HEPAMUT	TRANSCAN-2	ERA-NET Cofund
MuTaEB	E-Rare-3	ERA-NET Cofund
MLB	Eurostars 2	Article 185
TRACING	EDCTP2	Article 185
INTRATARGET	EuroNanoMed III	ERA-NET Cofund
RXNanoBRAIN	EuroNanoMed III	ERA-NET Cofund
INTREPIDUS	EuroNanoMed III	ERA-NET Cofund
4NanoEARDRM	EuroNanoMed III	ERA-NET Cofund
NANO-SCORES	EuroNanoMed III	ERA-NET Cofund
NATURE	AquaticPollutants	ERA-NET Cofund
NAT4MORE	M-ERA.NET 2	ERA-NET Cofund
NACAB	M-ERA.NET 3	ERA-NET Cofund
NEST	AAL 2	Article 185
NEUROCHIP	Eurostars 2	Article 185
NEWCHROM	MANUNET III	ERA-NET Cofund
AgrEcoMed	PRIMA	Article 185
MOTORAMIC	MANUNET III	ERA-NET Cofund
BiLaTex	M-ERA.NET 3	ERA-NET Cofund
BPRACTICES	SusAn	ERA-NET Cofund
SERVROLL	Eurostars 2	Article 185
VULCABIAT	Eurostars 2	Article 185
ColoSelect	Eurostars 2	Article 185
NewILUMIS	M-ERA.NET 2	ERA-NET Cofund
NEXTCCUS	ACT	ERA-NET Cofund
NEXUS-NESS	PRIMA	Article 185
NEMO-IMMUNEagainstHF	ERA-CVD	ERA-NET Cofund
NEMO	MarTERA	ERA-NET Cofund
NICOFA	E-Rare-3	ERA-NET Cofund
BethiNK	EDCTP2	Article 185
NOBEL	ForestValue	ERA-NET Cofund
HamTech	MANUNET III	ERA-NET Cofund
WAT-DIMON	Eurostars 2	Article 185
NOVAPACK	PRIMA	Article 185
NOAH	AAL 2	Article 185
NON-ACT	MANUNET III	ERA-NET Cofund
NaMAP	MANUNET III	ERA-NET Cofund
GLEBioassay	EuroNanoMed III	ERA-NET Cofund
LOGIC	Eurostars 2	Article 185
ImplantNano	EuroNanoMed III	ERA-NET Cofund
TARDIS	M-ERA.NET 3	ERA-NET Cofund
PREVENSIS	Eurostars 2	Article 185
NADEA	M-ERA.NET 2	ERA-NET Cofund
15SIB06 NanoMag	EMPIR	Article 185
NSC4DIPG	EuroNanoMed III	ERA-NET Cofund
DrNanoDAll	EuroNanoMed III	ERA-NET Cofund
AMROCE	AquaticPollutants	ERA-NET Cofund
OPERA	FLAG-ERA III	ERA-NET Cofund
Nano4Fresh	PRIMA	Article 185
Nano4CSP	Solar Cofund 2	ERA-NET Cofund
NANO4GLIO	EuroNanoMed III	ERA-NET Cofund
NanoTENDO	M-ERA.NET 2	ERA-NET Cofund
NANOGLIOMA	Eurostars 2	Article 185
NANOSCALE	Eurostars 2	Article 185
NanOx4EStor	M-ERA.NET 3	ERA-NET Cofund
NEILLSBAT	M-ERA.NET 2	ERA-NET Cofund
HiCut	Eurostars 2	Article 185
HARD_CODE	Eurostars 2	Article 185
TARBRAINFEC	EuroNanoMed III	ERA-NET Cofund
PNANO4BONE	M-ERA.NET 2	ERA-NET Cofund
NARROW	BiodivRestore	ERA-NET Cofund
ALRTI	EDCTP2	Article 185
